Domain,Kingdom,Phylum,Class,Order,Family,Genus,Species,ASV,SUM,Percent,pm8,p14,C3,C4,C5,C6,C7,P1,P10,P11,P12,P13,C2,Pm8,P2,P3,P4,P5,P6,P7,PC3,P9,PC10,PC11,PC12,PC13,PC14,PC15,PC2,P8,PC4,PC5,PC6,PC8,PC9,c10,c11,c12,c13,c14,c15,c8,c9,pm1,pm10,pm11,pm12,pm13,pm14,pm15,pm2,pm3,pm4,pm5,pm6,pm7,P15,pm9
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Neisseriaceae,g__Neisseria,s__unclassified_g__Neisseria,ASV88,68307,0.0658800450215,0,142,0,2497,3197,3514,2431,0,0,0,1043,0,2129,2592,0,0,0,315,0,0,0,0,0,0,62,277,11,0,0,55,0,0,68,477,0,2205,1508,1662,2049,2101,1927,1683,2340,1846,2208,2751,2380,2008,2402,3137,2195,2377,1377,1789,1631,2390,2801,2730
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Neisseriaceae,g__Neisseria,s__Neisseria_perflava,ASV124,31297,0.0301850142597,16,11,1856,913,1098,1215,931,0,742,0,0,0,19,107,104,4221,1150,16,573,0,0,0,170,58,201,0,0,0,0,0,203,41,0,80,55,701,559,553,648,744,647,559,762,839,748,850,907,656,807,993,1102,1141,629,625,459,844,902,842
d__Bacteria,k__norank_d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__unclassified_g__Streptococcus,ASV7,49662,0.0478975038555,389,313,534,861,1675,1572,899,2781,227,0,318,13,1124,355,159,369,653,826,111,279,1838,227,1345,1201,367,1185,876,2457,174,150,628,126,363,406,877,1775,1481,1462,1911,1463,1257,1195,1344,1057,658,684,483,643,485,793,1257,1270,745,740,816,905,768,792
d__Bacteria,k__norank_d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__unclassified_g__Streptococcus,ASV3,80121,0.0772742923443,1349,2993,790,722,606,641,733,3924,3611,1677,2806,1148,1767,135,1666,2791,1929,2821,1491,2239,598,3333,2151,2304,2960,2373,1428,1973,179,3245,502,1192,815,1620,2503,796,910,795,830,689,735,774,724,783,630,604,564,682,632,1069,881,942,602,520,669,834,730,711
d__Bacteria,k__norank_d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Carnobacteriaceae,g__Granulicatella,s__unclassified_g__Granulicatella,ASV2,42972,0.0414452002674,479,422,280,560,533,599,681,198,461,2016,591,272,383,750,108,532,590,735,211,475,2328,675,1709,3010,728,1326,2492,1079,519,560,237,575,460,926,994,879,914,870,950,692,788,772,771,546,433,532,359,508,494,717,519,712,427,381,483,604,539,588
d__Bacteria,k__norank_d__Bacteria,p__Campilobacterota,c__Campylobacteria,o__Campylobacterales,f__Campylobacteraceae,g__Campylobacter,s__unclassified_g__Campylobacter,ASV128,7355,0.00709367606735,46,76,59,70,78,77,35,78,37,16,10,0,181,0,61,50,126,0,70,50,0,11,10,0,33,16,0,2,0,9,63,0,0,57,44,39,22,44,72,44,65,31,64,395,414,579,385,311,232,219,431,405,347,326,181,432,437,515
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pasteurellales,f__Pasteurellaceae,g__Haemophilus,s__unclassified_g__Haemophilus,ASV43,28695,0.0276754635966,687,928,1082,831,796,591,722,195,1058,712,107,192,671,243,236,514,1344,256,776,170,0,1136,72,156,126,86,55,0,2,136,63,0,11,246,283,720,857,818,1025,911,871,746,898,756,301,329,337,303,304,446,800,733,364,505,416,492,814,466
d__Bacteria,k__norank_d__Bacteria,p__Fusobacteriota,c__Fusobacteriia,o__Fusobacteriales,f__Fusobacteriaceae,g__Fusobacterium,s__Fusobacterium_periodonticum,ASV125,19343,0.0186557411517,130,492,1272,584,423,544,470,16,886,0,146,321,419,0,210,297,1689,41,1223,14,43,541,0,0,63,0,0,0,0,48,9,0,3,295,86,269,376,439,464,290,410,390,530,802,270,229,297,193,252,286,610,501,485,433,391,368,457,336
d__Bacteria,k__norank_d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Micrococcales,f__Micrococcaceae,g__Rothia,s__unclassified_g__Rothia,ASV12,11268,0.010867646761,863,105,453,74,67,125,41,0,0,0,0,0,0,245,0,250,276,586,42,0,0,808,0,0,0,0,309,565,0,115,0,0,0,479,0,159,75,104,107,103,141,122,116,262,184,527,258,294,591,763,256,298,136,220,270,296,249,334
d__Bacteria,k__norank_d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pasteurellales,f__Pasteurellaceae,g__Haemophilus,s__unclassified_g__Haemophilus,ASV133,12321,0.0118832335589,0,0,351,443,465,348,379,0,401,0,0,0,0,244,47,291,1026,0,770,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,465,419,531,549,538,541,493,532,282,142,148,169,153,144,224,305,340,186,260,223,223,411,273
